04/16-14:45:13.071618 ,"TELNET connection attempt",172.16.113.207,2105,207.25.71.200,80,8404
04/16-14:45:13.071974 ,"TELNET connection attempt",172.16.113.207,2105,207.25.71.200,80,8405
04/16-14:45:13.072457 ,"TELNET connection attempt",172.16.113.207,2105,207.25.71.200,80,8406
04/16-14:45:13.135373 ,"TELNET connection attempt",172.16.113.207,2105,207.25.71.200,80,8409
04/16-14:45:13.145377 ,"TELNET connection attempt",172.16.113.207,2105,207.25.71.200,80,8410
04/16-14:45:13.155369 ,"TELNET connection attempt",172.16.113.207,2105,207.25.71.200,80,8412
04/16-14:45:13.165368 ,"TELNET connection attempt",172.16.113.207,2105,207.25.71.200,80,8413
04/16-14:45:13.175365 ,"TELNET connection attempt",172.16.113.207,2105,207.25.71.200,80,8414
04/16-14:45:13.185381 ,"TELNET connection attempt",172.16.113.207,2105,207.25.71.200,80,8415
04/16-14:45:13.189998 ,"TELNET connection attempt",172.16.113.207,2105,207.25.71.200,80,8416
04/16-14:45:13.190624 ,"TELNET connection attempt",172.16.113.207,2105,207.25.71.200,80,8417
04/16-14:45:13.356518 ,"TELNET connection attempt",172.16.113.207,2106,207.25.71.200,80,8421
04/16-14:45:13.356852 ,"TELNET connection attempt",172.16.113.207,2106,207.25.71.200,80,8422
04/16-14:45:13.357425 ,"TELNET connection attempt",172.16.113.207,2106,207.25.71.200,80,8423
04/16-14:45:13.383202 ,"TELNET connection attempt",172.16.113.207,2106,207.25.71.200,80,8424
04/16-14:45:13.384039 ,"TELNET connection attempt",172.16.113.207,2106,207.25.71.200,80,8425
04/16-14:45:13.387108 ,"TELNET connection attempt",172.16.113.207,2107,207.25.71.200,80,8427
04/16-14:45:13.387411 ,"TELNET connection attempt",172.16.113.207,2107,207.25.71.200,80,8428
04/16-14:45:13.387897 ,"TELNET connection attempt",172.16.113.207,2107,207.25.71.200,80,8429
04/16-14:45:13.425491 ,"TELNET connection attempt",172.16.113.207,2107,207.25.71.200,80,8430
04/16-14:45:13.426243 ,"TELNET connection attempt",172.16.113.207,2107,207.25.71.200,80,8431
04/16-14:45:13.429415 ,"TELNET connection attempt",172.16.113.207,2108,207.25.71.200,80,8433
04/16-14:45:13.429715 ,"TELNET connection attempt",172.16.113.207,2108,207.25.71.200,80,8434
04/16-14:45:13.430196 ,"TELNET connection attempt",172.16.113.207,2108,207.25.71.200,80,8435
04/16-14:45:13.465313 ,"TELNET connection attempt",172.16.113.207,2108,207.25.71.200,80,8437
04/16-14:45:13.473201 ,"TELNET connection attempt",172.16.113.207,2108,207.25.71.200,80,8439
04/16-14:45:13.474244 ,"TELNET connection attempt",172.16.113.207,2108,207.25.71.200,80,8440
04/16-14:45:13.477555 ,"TELNET connection attempt",172.16.113.207,2111,207.25.71.200,80,8442
04/16-14:45:13.477856 ,"TELNET connection attempt",172.16.113.207,2111,207.25.71.200,80,8443
04/16-14:45:13.478341 ,"TELNET connection attempt",172.16.113.207,2111,207.25.71.200,80,8444
04/16-14:45:13.500117 ,"TELNET connection attempt",172.16.113.207,2111,207.25.71.200,80,8446
04/16-14:45:13.501013 ,"TELNET connection attempt",172.16.113.207,2111,207.25.71.200,80,8447
04/16-14:45:13.504308 ,"TELNET connection attempt",172.16.113.207,2112,207.25.71.30,80,8449
04/16-14:45:13.504609 ,"TELNET connection attempt",172.16.113.207,2112,207.25.71.30,80,8450
04/16-14:45:13.505092 ,"TELNET connection attempt",172.16.113.207,2112,207.25.71.30,80,8451
04/16-14:45:13.555509 ,"TELNET connection attempt",172.16.113.207,2112,207.25.71.30,80,8452
04/16-14:45:13.563955 ,"TELNET connection attempt",172.16.113.207,2112,207.25.71.30,80,8453
04/16-14:45:13.565224 ,"TELNET connection attempt",172.16.113.207,2112,207.25.71.30,80,8454
04/16-14:45:13.568737 ,"TELNET connection attempt",172.16.113.207,2113,207.25.71.200,80,8456
04/16-14:45:13.569039 ,"TELNET connection attempt",172.16.113.207,2113,207.25.71.200,80,8457
04/16-14:45:13.569525 ,"TELNET connection attempt",172.16.113.207,2113,207.25.71.200,80,8458
04/16-14:45:13.617106 ,"TELNET connection attempt",172.16.113.207,2113,207.25.71.200,80,8459
04/16-14:45:13.618578 ,"TELNET connection attempt",172.16.113.207,2113,207.25.71.200,80,8460
04/16-14:45:13.622118 ,"TELNET connection attempt",172.16.113.207,2115,207.25.71.200,80,8462
