03/07-11:50:01.817396 ,"INFO TELNET access",172.16.115.20,23,202.77.162.213,1536
03/07-11:50:02.144158 ,"RSERVICES rsh root",172.16.115.20,1023,202.77.162.213,514
03/07-11:50:02.344114 ,"RSERVICES rsh root",172.16.115.20,1023,202.77.162.213,514
03/07-11:50:03.744080 ,"RSERVICES rsh root",172.16.115.20,1023,202.77.162.213,514
03/07-11:50:04.743967 ,"RSERVICES rsh root",172.16.115.20,1023,202.77.162.213,514
03/07-11:50:21.061833 ,"INFO TELNET access",172.16.112.10,23,202.77.162.213,1537
03/07-11:50:21.343144 ,"RSERVICES rsh root",172.16.112.10,1023,202.77.162.213,514
03/07-11:50:21.543145 ,"RSERVICES rsh root",172.16.112.10,1023,202.77.162.213,514
03/07-11:50:37.920749 ,"INFO TELNET access",172.16.112.50,23,202.77.162.213,1565
03/07-11:50:38.342053 ,"RSERVICES rsh root",172.16.112.50,1023,202.77.162.213,514
03/07-11:50:38.542055 ,"RSERVICES rsh root",172.16.112.50,1023,202.77.162.213,514
