"1","2000-03-07 07:33:10","172.16.115.20","202.77.162.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","Tidak menggunakan TCP","Tidak menggunakan TCP","111","667","RPC portmap sadmind request UDP","rpc-portmap-decode"
"2","2000-03-07 07:33:10","172.16.115.20","202.77.162.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","Tidak menggunakan TCP","Tidak menggunakan TCP","60250","668","RPC sadmind query with root credentials attempt UDP","misc-attack"
"3","2000-03-07 07:33:10","172.16.115.20","202.77.162.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","Tidak menggunakan TCP","Tidak menggunakan TCP","60250","668","RPC sadmind UDP NETMGT_PROC_SERVICE CLIENT_DOMAIN overflow attempt","attempted-admin"
"4","2000-03-07 07:33:12","172.16.115.20","202.77.162.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","Tidak menggunakan TCP","Tidak menggunakan TCP","111","668","RPC portmap sadmind request UDP","rpc-portmap-decode"
"5","2000-03-07 07:33:12","172.16.115.20","202.77.162.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","Tidak menggunakan TCP","Tidak menggunakan TCP","60254","669","RPC sadmind query with root credentials attempt UDP","misc-attack"
"6","2000-03-07 07:33:12","172.16.115.20","202.77.162.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","Tidak menggunakan TCP","Tidak menggunakan TCP","60254","669","RPC sadmind UDP NETMGT_PROC_SERVICE CLIENT_DOMAIN overflow attempt","attempted-admin"
"7","2000-03-07 07:33:14","202.77.162.213","172.16.115.20","Tidak menggunakan ICMP","Tidak menggunakan ICMP","1425","23","Tidak menggunakan UDP","Tidak menggunakan UDP","INFO TELNET access","not-suspicious"
"8","2000-03-07 07:33:18","202.77.162.213","172.16.115.20","Tidak menggunakan ICMP","Tidak menggunakan ICMP","1425","23","Tidak menggunakan UDP","Tidak menggunakan UDP","INFO TELNET Bad Login","bad-unknown"
"9","2000-03-07 07:33:18","202.77.162.213","172.16.115.20","Tidak menggunakan ICMP","Tidak menggunakan ICMP","1425","23","Tidak menggunakan UDP","Tidak menggunakan UDP","INFO TELNET login incorrect","bad-unknown"
"10","2000-03-07 07:33:18","172.16.115.20","202.77.162.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","Tidak menggunakan TCP","Tidak menggunakan TCP","111","669","RPC portmap sadmind request UDP","rpc-portmap-decode"
"11","2000-03-07 07:33:18","172.16.115.20","202.77.162.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","Tidak menggunakan TCP","Tidak menggunakan TCP","60268","670","RPC sadmind query with root credentials attempt UDP","misc-attack"
"12","2000-03-07 07:33:18","172.16.115.20","202.77.162.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","Tidak menggunakan TCP","Tidak menggunakan TCP","60268","670","RPC sadmind UDP NETMGT_PROC_SERVICE CLIENT_DOMAIN overflow attempt","attempted-admin"
"13","2000-03-07 07:33:20","172.16.115.20","202.77.162.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","Tidak menggunakan TCP","Tidak menggunakan TCP","111","670","RPC portmap sadmind request UDP","rpc-portmap-decode"
"14","2000-03-07 07:33:20","172.16.115.20","202.77.162.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","Tidak menggunakan TCP","Tidak menggunakan TCP","60275","671","RPC sadmind query with root credentials attempt UDP","misc-attack"
