"1","2000-03-07 07:07:07","172.16.115.1","202.77.162.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","Tidak menggunakan TCP","Tidak menggunakan TCP","111","645","RPC portmap sadmind request UDP","rpc-portmap-decode"
"2","2000-03-07 07:07:12","172.16.115.1","202.77.162.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","Tidak menggunakan TCP","Tidak menggunakan TCP","111","645","RPC portmap sadmind request UDP","rpc-portmap-decode"
"3","2000-03-07 07:07:17","172.16.115.1","202.77.162.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","Tidak menggunakan TCP","Tidak menggunakan TCP","111","645","RPC portmap sadmind request UDP","rpc-portmap-decode"
"4","2000-03-07 07:07:22","172.16.115.1","202.77.162.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","Tidak menggunakan TCP","Tidak menggunakan TCP","111","645","RPC portmap sadmind request UDP","rpc-portmap-decode"
"5","2000-03-07 07:07:27","172.16.115.1","202.77.162.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","Tidak menggunakan TCP","Tidak menggunakan TCP","111","645","RPC portmap sadmind request UDP","rpc-portmap-decode"
"6","2000-03-07 07:07:32","172.16.115.1","202.77.162.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","Tidak menggunakan TCP","Tidak menggunakan TCP","111","645","RPC portmap sadmind request UDP","rpc-portmap-decode"
"7","2000-03-07 07:07:37","172.16.115.1","202.77.162.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","Tidak menggunakan TCP","Tidak menggunakan TCP","111","645","RPC portmap sadmind request UDP","rpc-portmap-decode"
"8","2000-03-07 07:07:42","172.16.115.1","202.77.162.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","Tidak menggunakan TCP","Tidak menggunakan TCP","111","645","RPC portmap sadmind request UDP","rpc-portmap-decode"
"9","2000-03-07 07:07:47","172.16.115.1","202.77.162.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","Tidak menggunakan TCP","Tidak menggunakan TCP","111","645","RPC portmap sadmind request UDP","rpc-portmap-decode"
"10","2000-03-07 07:07:52","172.16.115.1","202.77.162.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","Tidak menggunakan TCP","Tidak menggunakan TCP","111","645","RPC portmap sadmind request UDP","rpc-portmap-decode"
"11","2000-03-07 07:07:57","172.16.115.1","202.77.162.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","Tidak menggunakan TCP","Tidak menggunakan TCP","111","645","RPC portmap sadmind request UDP","rpc-portmap-decode"
"12","2000-03-07 07:08:02","172.16.115.1","202.77.162.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","Tidak menggunakan TCP","Tidak menggunakan TCP","111","645","RPC portmap sadmind request UDP","rpc-portmap-decode"
"13","2000-03-07 07:08:07","172.16.115.20","202.77.162.213","Tidak menggunakan ICMP","Tidak menggunakan ICMP","Tidak menggunakan TCP","Tidak menggunakan TCP","111","646","RPC portmap sadmind request UDP","rpc-portmap-decode"
