"1","2000-03-07 07:50:01","202.77.162.213","172.16.115.20","Tidak menggunakan ICMP","Tidak menggunakan ICMP","47496","23","Tidak menggunakan UDP","Tidak menggunakan UDP","INFO TELNET access","not-suspicious"
"2","2000-03-07 07:50:02","202.77.162.213","172.16.115.20","Tidak menggunakan ICMP","Tidak menggunakan ICMP","514","1023","Tidak menggunakan UDP","Tidak menggunakan UDP","RSERVICES rsh root","attempted-admin"
"3","2000-03-07 07:50:02","202.77.162.213","172.16.115.20","Tidak menggunakan ICMP","Tidak menggunakan ICMP","514","1022","Tidak menggunakan UDP","Tidak menggunakan UDP","RSERVICES rsh root","attempted-admin"
"4","2000-03-07 07:50:03","202.77.162.213","172.16.115.20","Tidak menggunakan ICMP","Tidak menggunakan ICMP","514","1022","Tidak menggunakan UDP","Tidak menggunakan UDP","RSERVICES rsh root","attempted-admin"
"5","2000-03-07 07:50:04","202.77.162.213","172.16.115.20","Tidak menggunakan ICMP","Tidak menggunakan ICMP","514","1021","Tidak menggunakan UDP","Tidak menggunakan UDP","RSERVICES rsh root","attempted-admin"
"6","2000-03-07 07:50:21","202.77.162.213","172.16.112.10","Tidak menggunakan ICMP","Tidak menggunakan ICMP","47502","23","Tidak menggunakan UDP","Tidak menggunakan UDP","INFO TELNET access","not-suspicious"
"7","2000-03-07 07:50:21","202.77.162.213","172.16.112.10","Tidak menggunakan ICMP","Tidak menggunakan ICMP","514","1023","Tidak menggunakan UDP","Tidak menggunakan UDP","RSERVICES rsh root","attempted-admin"
"8","2000-03-07 07:50:21","202.77.162.213","172.16.112.10","Tidak menggunakan ICMP","Tidak menggunakan ICMP","514","1022","Tidak menggunakan UDP","Tidak menggunakan UDP","RSERVICES rsh root","attempted-admin"
"9","2000-03-07 07:50:37","202.77.162.213","172.16.112.50","Tidak menggunakan ICMP","Tidak menggunakan ICMP","47512","23","Tidak menggunakan UDP","Tidak menggunakan UDP","INFO TELNET access","not-suspicious"
"10","2000-03-07 07:50:38","202.77.162.213","172.16.112.50","Tidak menggunakan ICMP","Tidak menggunakan ICMP","514","1023","Tidak menggunakan UDP","Tidak menggunakan UDP","RSERVICES rsh root","attempted-admin"
"11","2000-03-07 07:50:38","202.77.162.213","172.16.112.50","Tidak menggunakan ICMP","Tidak menggunakan ICMP","514","1023","Tidak menggunakan UDP","Tidak menggunakan UDP","RSERVICES rsh root","attempted-admin"
